Group hierarchy,Region,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
Initial_Cost_Estimate,US East (N. Virginia),Amazon Elastic IP,0,29.2,350.40,USD,"Number of EC2 instances (16), Number of EIPs per instance (1)"
Initial_Cost_Estimate,US East (N. Virginia),Elastic Load Balancing,0,1200.85,14410.20,USD,Number of Application Load Balancers (2)
Initial_Cost_Estimate,US East (N. Virginia),Amazon EC2,0,2484.45,29813.40,USD,"Operating system (Linux), Quantity (16), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (30 GB), Instance type (t3.2xlarge)"
Initial_Cost_Estimate,US East (N. Virginia),Amazon Virtual Private Cloud (VPC),0,77.85,934.20,USD,Number of NAT Gateways (1)
Initial_Cost_Estimate,US East (N. Virginia),Amazon RDS for MySQL,0,3844.656,46135.87,USD,"Quantity (2), Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (30 GB)"
Initial_Cost_Estimate,US East (N. Virginia),Amazon Elastic IP,0,28,336.00,USD,"Number of EC2 instances (16), Number of EIPs per instance (1)"
Initial_Cost_Estimate,US East (N. Virginia),S3 Standard,0,505.4,6064.80,USD,S3 Standard storage (10000 GB per month)
Initial_Cost_Estimate,US East (N. Virginia),Data Transfer,0,0,0.00,USD," Inbound (from: Not selected) 0 TB per month 
 Outbound (to: Not selected) 0 TB per month 
"



"AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
